aalug-alog	shaky, rickety
hunusdili	to calm yourself (hunus-dili)
hupa	diminution, decrease
hurado	a judge
húsay	skill
husga	act of passing judgment
husto	adequate, sufficient, fitted, up-to-date, correct; amply, sufficiently
huwebes	thursday
huwes	a judge
huwisyo	common sense, judgement, decision, conclusion (also 'wisyo')
iabót	to hand something over
iakyát	to bring up
ialay	to offer, to give
iatas	to assign, to order (ie, have someone do something.)
ibá	other, different, another; some
ibabâ	below, beneath; to set/put down
ibabadya	will be indicated (by)
ibadya	to declare
ibahin	to switch or change
ibalík	to return something, give something back, replace something
ibatay	to base something on
ibay	intoxication caused by overchewing betel nuts
ibayo	opposite, opposing; over; extra; doubly; opposite side of something
iba’t-iba	 various, different, varied
ibenta	to sell something, as a vendor.  'ipagbili' is the selling of something personal.
ibig	fondness
ibigáy	to give something
ibilí	to buy something for someone
ibiníbigáy	giving something
ibon	bird; wang (slang)
ibukod	to set aside, to put to one side
ibulgár	to expose, divulge, reveal something
ibunyág	to reveal, expose, divulge, disclose
idaan	to drop something by
idadaos	will hold an event
idalo	'attend (e.g., a social function) for' 
idamay	to involve someone in something
idiin	to stress, emphasize
idlíp	dozing off for a bit, snoozing, napping
igalang	to honor, respect
igalaw	to move something
igiit	insist on; persist; obtrude; force one’s way (iginiit, iginigiit, igigiit)
igisa	to sauté/stir-fry something
igláp	brief moment (syn. saglit)
iha	daughter, name for a younger girl (Spanish origin)
ihain	to offer something; to put food on a table; to serve food; to sacrifice something. <inihain, inihahain, ihahain>
ihalik	'kiss (someone) for' 
ihayag	disclose, reveal, divulte
ihingî	to ask (ng) for something (ng) for someone/something  (the focus) Ihingî mo ng patawad ang mali mo.
ihinto	to cause to stop
iilan	very few
iisa	only one, single, one and the same
iká	said by ("ang wika")
ika'y	you are (ikáw ay)
ikabít	to fix, fasten, hook up, connect (lit/fig)
ikabubuti	to cause improvement, benefit "for the good of" (ika-, causer focus)
ikabuhay	be the means of earning; be the reason for living
ikagalit	to cause anger (ika-, causer focus)
ikaít	to withhold, refuse to give
ikalabing-isá	eleventh
ikalawá	second
ikalimá	fifth
ikalimampú't isá	fifty-first
ikapit	to hold on to or grasp something
ikasawî	to cause severe misfortune or death
ikataká	to cause surprise (active focus)
ikáw ay	you are
ikinalulungkot	apologize (formal, "I am sad to say..")
ikulóng	to cage, shut in
ikumusta	'say hello for' 
ilaán	to devote something; to dedicate something
iladlád	to unfold something; to unroll something; to roll out something
ilagay	to put, to place something into some condition
ilahad	to offer, to set forth in words
ilalim	bottom
ilán	how many; a few, several, some, a handful
iláng	desolate; desert, wasteland, wilderness; uneasiness
ilarawan	to portray something; to illustrate something; to depict something; to describe something. <inilarawan, inilálarawan, ilálarawan>
ilaw	light
ilayo	bring/take <ang> far away
iliban	to procrastinate, delay, put off
ilibing	to bury
ilihim	to hide, keep secret
ilipat	to move/transfer something
ilong	nose
imbes na	instead of (sa halip na)
iná	mother
inaasahan	is expected to..
inagaw	to snatch
inagawan	to deprive
inalipusta	belittled, maltreated
inalis	removed
ináng	mother
inararo	plowed, eg run-over (arado: plow, spanish)
inaruga	is nurturing, nurtured
inasál	barbecued; a type of roast chicken originating from Bacolod
inayos	to fix something
indahín	to feel something; to sense something
inéng	girl; young girl; nickname for a young girl; lass
ingatan	to pay heed to something, pay attention to something
ingay	noise, fuss
inihahandog	is presenting/offering/dedicating
inihain	served food
iniipit	"putting the squeeze on"
iniirog	beloved (iniibig, minamahal are more common)
inís	irritation, annoyance; suffocation
inodoro	toilet
intensibo	intensive
intindihín	to be understanding/tolerant/mindful toward
intriga	intrigue
Intsik	Chinese
inutil	useless, useless person
ipaalám	to inform (object focus) (inform <SA> of <ANG>)
ipabatid	to inform
ipadpád	to be driven somewhere (as by current, wind, etc.)
ipag-utos	to command/order someone
ipagawâ	to have or make someone fix or repair something; to have or make someone do something
ipagbawal	to prohibit/ban/forbid/outlaw something
ipagbigay-alam	to give notice
ipagbili	the selling of something personal (somewhat formal term)
ipagdasal	to pray for someone
ipaggiitan	to assert, insist on
ipagkaibá	to differentiate, contrast
ipagkapuri	be proud of or well satisfied with
ipagkatiwala	to entrust something/someone to the care of SA
ipaglaban	to fight for something/someone
ipaglutò	to cook for someone
ipagmalakí	to take pride in something
ipagpaalam	'say goodbye for' 
ipagpaliban	to put something aside
ipagpatawad	to pardon, excuse
ipagpatuloy	to go ahead / keep on / continue with / pursue something
ipagpaumanhin	to excuse
ipagsaya	to celebrate
ipagtapát	to confide, confess, be truthful
ipahanap	to have something (ang) searched for (by sa)
ipakahulugan	to give as an intrepretation
ipakilála	(ng) to make known, introduce, bring into acquaintance (ang) to (sa)
ipakíta	to show / cause (sa) to see something (ang), to let be seen
ipalagáy	to consider, to suppose, to assume, to attribute, to conclude, to deem
ipaliwanag	to explain, clarify
ipangalan	to name someone; to give someone a name; to name-call someone
ipangalandakan	dilate; boast; brag (ipinapangalandakan, ipinangalandakan, ipapangalandakan)
ipasok	to enter
ipatapon	to exile
ipatupád	to enforce
ipaubayà	to entrust something; to waive something; to have something waived; to relinquish something
ipayo	to advise
ipinakita	showed
ipinápagawâ	being asked/ordered to do
ipít	to be squeezed, caught in something (lit. or fig.)
ipo-ipo	waterspout
ipon	gather, collect, save
ipot	droppings of fowls and small animals
ipunin	to gather, collect, save
ipuwesto	to install in place
iring	disdain, disdainful treatment
irog	beloved, darling (sinta, giliw)
isá't kalahatì	one and a half
isaálang-álang	to consider, regard
isagawa	to put into effect
isaglit	to do in a hurry
isahod	catch something falling
isaw	small intestine; caecum; animal entrails used for food
isawalang-bahala	to not pay attention to
isinuko	surrendered someone or something
isip	mind, intellect, thought, judgment
isipan	the mind
isipin	to think about
isisi	to blame <something> (ang/focus) on someone (sa)
isnabin	to snub someone
istilo	a style, manner, technique (of doing something)
isugod	to rush someone/thing, as to the hospital
isuko	to surrender something
isulong	to advance/further something
isumbóng	to inform someone about what a person did
isumite	to submit
isuót	to wear; to insert
itabi	to put or set aside
itak	machete, bolo knife
itakdâ	to set/assign/settle/restrict <something>
itakíp	to use something to cover; to use something as a cover (takíp)
itakwíl	to renounce, disown, repudiate, deny something or someone
itala	list, register, note, record, keep accounts
itáma	to correct
itambak	to pile
itamo	to be awarded
itampok	to feature
itanghál	to exhibit, display, exalt
itapát	to put directly in front, opposite, above or beneath
itapon	to throw something
itarak	plunged in as of a dagger
itatanong	will ask it
itik	duck
itim	black
itira	set aside
itlóg	egg
itsúra	shape, form; appearance (alt. "hitsura")
itulak	to push, to shove
itulóy	to continue something, proceed with something
ituring	to consider, regard, think of
ituro	to point something out
ituro	to teach something
ituwíd	to straighten, to correct
iugnay	to connect
iuwi	to take someone home
iwan	leaving, abandoning, omitting
iwas	avoidance
iwi	to nurse, raise, nurture, rear
iyák	crying
iyó	yours, your
iyong	informal "ang", like "yung"; iyo + na (your)
jack-en-poy	rock-paper-scissors
jokla	gay
kaagád	immediately; soon/asap
kaagahan, pagka-maaga, katempranuhan, pagsapit o pagdating nang una sa	takdang oras
kaágaw	rival
kaakibat	associate, associated with
kaákit-ákit	attractive
kaapíd	paramour, illicit lover
kaarawan	birthday, anniversary
kaáwa-áwa	so poor, pitiful, wretched
kaaway	enemy
kabá	palpitation, premonition, a faint feeling that something bad might happen
kababaang-loob	humility
kababalaghán	wonder, mystery; miracle; phenomenom; marvel
kabahan	dread
kabahanin	to dread
kabaligtaran	(the) opposite
kabanatà	episode, chapter
kabaong	coffin, casket
kabarò	partner/teammate/colleague/ally; of the same sex/gender
kabatáan	the young, collective youth
kabatiran	information
kabayan	of the same bayan; compatriate
kabayo	horse
kabihasnán	civilization (rt. bihasa)
kabilâ	the next; the other side (time/space); in spite of (sa kabilâ ng)
kabilang	including/included, among (kabilang sa)
kabilisan	quickness, celerity
kabinataan	young men (collectively)
kabisado	memorized
kabisá	(kabesá) sp. "cabeza".  "head"/pinuno; or referring to memorizing or knowing / being familiar with something
kabisera	capital, capital city; town center
kabít	attached, connected; mistress
kabuhayan	livelihood
kabukiran	the countryside, rural area
kabuktután	corruption; extreme wickedness
kabulagan	state of blindness
kabuluhán	value, worth, meaning (bulo)
kabutíhan	goodness
kabuuán	composition, entirety
kadalásan	frequently, usually
kadangya	a person who is well off or has more than others
kadaupang-palad	"one with whom another presses palms".  being together
kadena	a chain
kadiwa	fellow of the same spirit or thinking
kadugo	a blood relative
kagabí	last night
kagagawán	the "doing" of something, re responsibility for an act
kagalakán	joy, delight
kagálang-gálang	honorable, respectable/respected
kagat	to bite
kagatín	to bite something
kágawarán	department (as govt., university, etc.)
kagiliran	surroundings, environment, horizon
kagubátan	wilds, thick forest (masinsing kasukalan)
kagulat-gulat	startling, amazing
kaguluhan	melee, confusion, conflict
kagyat	immediately, instantly; immediate; instant
kaha	case
kahabaan	length, extent
kahabag-habag	so very pitiful
kahalagáhan	importance
kahang bakal	metal case, ie a safe or "strong box"
kahánga-hangà	wonderful, extraordinary, magnificent, amazing
kahapon pa	since yesterday
kahati	shareholder; share (hati)
kahawíg	someone/something that is similar, alike, akin (kamukha, katulad, kawangis, kawangki, kaparis)
kahéra	female store cashier
kahéro	male store cashier
kahig	scratch
kahilíngan	a request, claim, application
kahiman	even though; although
kahina-hinala	suspicious; dubious (kahinahinala)
kahina-hinalang pag-uugalì	suspicious behavior
kahináan	weakness
kahingían	requirement
kahirapan	poverty, hardship, difficulty
kahit	despite, although, even, even if (khit)
kahit ano	anything
kahit ano man	whatever
kahit ganito	even though like this
kahit ilan	either, whichever
kahit kailán	regardless of time, whenever, any time
kahit kanino	whoever/whomever
kahit minsan	ever
kahit na	even so; although, even if, even though, in spite of, regardless
kahit pa	even though, despite
kahit paano	somehow
kahit papaano	somehow; in some way; whatever happens
kahit sino	anyone
kahóg	haste (also, something to do with embarrassment..)
kahol	bark, as of a dog (also tahól)
kahón	a box
kahoy	wood, lumber, tree
kahulugán	meaning, significance; interpretation
kahuyán	woodland, forest
kaibahán	a difference
kaibig-ibig	lovable, adorable
kaibigang putik	“mud” friend = fake friend
kailán	when (kelan)
kailan man	whenever
kailángan	to need; needed (root) If you need tense/aspect, use the verb "kailanganin."
kailángan pa	still need
kailanganin	to need/require or to be required to do something (Kinákailangan mo na magpaalam. You need to ask permission.)
kailanmán	enduring; forever; until when; whenever
kaingayan	noisiness
káisa-isá	lone, only, sole, one and only
kaisipan	the mind, intellect, attitude
kakahúyan	malawak na lupaing maraming punongkahoy (var kahúyan, kagubátan)
kakaibá	different, strange, unusual
kakambal	fellow twin, being like someone
kakanín	sweet delicacies whose main ingredients are usually rice or root crops.
kakapiranggót	a very small piece, quantity
kakarampot	only a very small quantity
kakatapos	just finished something (focus on the something) (alt katatapos)
kakaunti	a very small amount (unti), lubhang kaunti
kakayahán	capability, skill
kakila-kilabot	terrifying
kakulitan	peskiness, badgering
kakupalan	state of being nasty
kalà	alt spelling of 'akalà'
kalában	opponent
kalabanin	to fight something/someone
kalabasa	pumpkin, squash, gourd
kalabít	poke; strum; beckoning; tapping someone to get his/her attention; pulling a trigger
kalabóg	thud of a heavy falling body
kalabóso	prison
kaladkád	drag/dragging
kalagayan	state, condition
kalaguyò	lover; mistress
kalahati	half
kalahok	contestant
kalakal	merchandise, commodity
kalakbay	fellow traveller
kalám	hunger pangs
kalamidád	calamity
kalampág	clank, clang, bang, thud
kalán	stove
kalangitan	the sky (langit)
kalansáy	skeleton
kalapati	dove, pigeon
kalapit	person or place nearby; neighboring, nearby
kalarô	playmate, play partner
kalesa	horse drawn carriage; calesa; chariot; cart
kalás	detached; unstitched; freed from (e.g. betrothal)
kalát	widespread, known everywhere; rampant; scattered, disordered; spreading as on internet
kalaw	hornbill (bird)
kalawakan	space, especially referring to outer space
kalawang	rust
kalayaan	freedom
kalbaryo	calvary; used to denote extreme suffering, especially mental suffering
kaldero	pot
kalí	peace, tranquility, quiet
kalidad	quality
kalikasan	nature
kalimítan	normally, typically, usually
kalimutan	to forget
kaliskís	scales; fish scales, snake scales
kaliskisán	to descale; to remove scales from
kaliwá	left (vs. right)
kaliwang kamay	left hand
kaliwa’t kanan	left and right
kalong	held in the lap
kalsada	road
kaltás	removed, detached, cancelled
kaltasán	to cut on; subtract from; reduce; lay off
kaltasín	to dedcuct, subtract; lay off
kalugurán	pleasure, enjoyment, delight, a pleasurable way to spend time
káluluwá	soul
kalungkut-lungkot	sorrowful
kalungkutan	sadness
kalunós-lunós	pitiful, tragic
kálunyâ	paramour, concubine; kaapíd, var kaluniyâ, ngalunyâ (ka+alunya)
kaluskós	rustling sound; krackle; (sound of) scratching
kalusúgan	health
kalutáng	two bamboo sticks used in the tinikling dance; bamboo poles; clapping bamboos
kamag-anak	relative(s)
kamakailán	recently; recent
kamakalawá	the day before yesterday (dalawa)
kamalayán	awareness
kamalian	mistake
kamalig	storehouse, warehouse; barn, granary
kamanyang	frankincense
kamara	legislative chamber; hall, chamber
kamay	hand
kamayin	use your hands
kambál	twins
kambal-patinig	dipthong
kambíng	goat
kambíyo	gear shifting; exchange of money
kamí	we (excluding you)
kamí-kamí	just us (exclusive)
kamiseta	shirt
kamít	acquisition; obtaining, getting, achieving
kamote	sweet potato; blockhead / dimwit (slang)
kampana	bell
kampante	(adj) complacent, content
kampón	disciple, follower
kamtan	get, obtain, attain (kamit)
kamukha	look like someone
kamungawan	comprehension
kamusmusan	innocence (as a child)
kanais-nais	desirable
kanan	right (vs. left)
kanayunan	center of a village/barrio; a remote rural area (also nayon)
kandúngan	lap
kangina	just awhile ago today
kaní-kanina	(usually said as "kaní-kanina lang") just now, just a while ago, just a moment ago
kani-kanino	whose? (plural)
kanila	their, theirs
kanin	boiled or steamed rice
kanina	a while ago, sometime ago today
kanina pa	since earlier (as if it's been a long time..)
kanino	(to) whom; whose?
kaniya-kaniyang	each on his own, individually
kanlungan	sanctuary; shelter against weather
kanlungan	to provide with shelter against weather
kanlúran	west
kanta	song
kantá	to sing
kantiyáw	banter
kanto	corner, street corner
kantót	having sex, sex act (vulgar); fuck!
kantutín	to have sex with someone/something, to have sex with someone
kapâ	groping
kapa	cape, cloak
kapabayaán	negligence (baya)
kapág	when, whenever, upon (implies certainty, though commonly used same as kung)
kapahamakán	calamity, misfortune
kapaín	to grope, search for
kápakanán	welfare, sake, interests, well-being, affairs (pakán)
kapaláran	fate
kapaligiran	surroundings (ligid)
kapalit	what is received in return
kapamilya	family member; of the family; a fan of abs-cbn network (slang)
kapangahasán	audacity
kapangyaríhan	power
kapaní-paniwalà	credible; believable; authentic; convincing
kapariso	a piece (of)
kaparusahan	punishment
kapasidad	capacity
kapat	one fourth
kapatagan	plain; plains (geography)
kapatíd	sibling
kapatiran	fraternity, brotherhood
kapayapaan	peace, tranquility
kapilya	chapel
kapílyuhán	mischief, misbehavior
kapit	hold, grasp
kapit-bahay	neighbor "adjacent house"
kapit-kamay	holding hands
kapit-kuwarto	roommate
kapit-tukô	“gripping like a gecko” clinging or holding on very tight
kapitan	to hold, to grasp
kapkáp	frisking e.g. of pockets; feeling or groping something not seen
kapós	insufficient, lacking, inadequate; short in length
kapote	raincoat
kapre	savage, inhuman; folklore giant, tree demon
kapulungan	assembly
kapusò	a close friend, of one heart; a gma TV fan
kapútik	muddy
kapwa	fellow human being, neighbor
kapwa-tao	relations with others
kapwang	both, all (people)
kara	face or head side of a coin; chatter of monkeys; stamping of feet
karagatán	ocean (dagat)
karahasán	violence
karalitaan	misery, poverty
karamihan	most (of), majority, nearly all
karampatan	equitable, appropriate, adequate, proper, suitable;  appropriateness, propriety (dampat)
karampót	(dampót) pinch (of salt), a very small quantity; a little bit, a crumb; napakaliit na bílang o piraso
karanasán	experience
karaníwan	usually, generally, customarily; common, typical, ordinary, habitual (this is a root)
karapat-dapat	qualified, worthy, fitting, deserving
karapatán	a right, a legal claim; something that is due to a person
karapatang-ari	copyright
karatig	contiguous, adjoining, adjacent
karátulá	signboard, sign, poster
karayom	a needle
karelasyón	partner, person one has a relationship with, person one has an affair with
karera	a race; career
karibal	rival (often in romance)
karimarimarim	disgusting(?) (dimarim)
karit	sickle, skythe
karitón	a pushcart
kartero	postman
karukhaán	poverty; lack, deficiency (dukhâ)
karumal-dumal	loathsome, nasty
karunúngan	wisdom; knowledge, education, talent, ability (dúnong)
karunúngang bayan	folk wisdom
kasabáy	together, at the same time, simultaneously (sabáy)
kasagsagán	in the thick of (something); at the height of (something). (sagsag) "season of abundance"
kasakáy	fellow passenger
kasakiman	greed; greedy behavior
kasal	wedding, marriage
kasalanan	fault, error, mistake, blame, sin
kasali	included
kasalukúyan	current, present time (salúkoy)
kasalungat	opposite
kasáma	among, together, with, including
kasáma	companion, comrade, fellow, associate
kasamahán	companion in a group or company, colleague, roommate, etc.
kasanayán	skill, proficiency
kasanggulan	infancy
kasapi	member of an organization (sapi)
kasarinlan	independence, individuality
kasawian	death, misfortune
kasaysayan	history
kasí	because (also, kc, kz, ksi, kase, kse)
kasindunong	as smart as (kasingdunong)
kasing	same as; as X as <ng>
kasing-ganda	as beautiful as (kasing-ganda mo siya -> she's as beautiful as you)
kasing-pangit	as ugly as
kasingdunong	as smart as (kasindunong)
kasinghalaga	as valuable as
kasingkahulugan	synonym
kasingkahulugan	synonymous
kasintahan	someone you’re in a romantic relationship with
kasiyahán	satisfaction, pleasure, zest (siyá)
káso	lawsuit, case; value, importance; disagreement; the point, the truth; "except that.." (eg "Kaso Espanyol")
kasosyo	business partner
kastígo	reprimand, rebuke; originally meant punishment
kasukdúlan	climax
kasuklám-suklám	disgusting, loathsome, execrable
kasundo	someone you get along with; agreeing
kásunduan	agreement, deal, compromise, covenant, bargain, treaty, concord, contract, compact, pact
kasungitan	irritableness; sulkiness
kasunód	next / the next; following; something that follows, result
kasya	to fit in size; sufficient for what’s needed
katabi	next to, adjacent
katad	leather
katagâ	word; particle
katagál	duration
katagalugan	Tagalog territory, people or language
katahimikan	silence
katakám-takám	very delicious
katalo	opponent
katambál	a partner, someone you’re paired with
katamtáman	comfortable, moderate; just enough; average
katangahán	stupidity, lack of intelligence
katanggap-tanggap	acceptable
katangian	characteristic, trait; attribute, feature
katanungan	question
katao	person, human being; associate(s)
katapát	opposite
katápátan	loyalty, integrity
katapus-tapusan	the very end
katapusan	the end
katarantahan	state of confusion, bewilderment
katarúngan	justice
katas	sap (slang); juice
katatapos	just finished something (focus on the something) (alt kakatapos)
katawá-tawá	ridiculous, laughable
katawán	body
katawanín	to represent/symbolize/embody something (-in, obj. focus)
katerbas	multitude
katibayan	proof
katigasan	hardness, firmness, stiffness, inflexibility, determination
katinig	consonant
katitíng	very small (size or amount), tiny, minute; particle; bit; iota; very small amount (napakaliit)
katiwalian	irregularity, corruption
katók	knock
katol	mosquito coil (a coil used to kill mosquitos.  this is a brand name.)
katotohanan	the truth
katúlad	like, similar
katulong	a helper, aid, attendant
katúmbas	an equivalent
katumpakán	accuracy, correctness
katunáyan	truth, actuality, fact
katúpáran	accomplishment, fulfillment
katutubò	native, indigenous, ethnic (tubo, syn: taal)
katutubong-ugali	native habits, behavior, instinct, nature
katuturán	significance, value, use, utility (this is a root)
katuwáng	partner; coefficient (mathematics) (this is a root)
katwíran	(a) reason, logical argument, justification, explanation, excuse, reasoning (tuwid)
kaugnáy	regarding, allied, related; relative; incidental
kaugnayan	relation
kauna-unahan	the very first, earliest
káunawaán	(n) understanding (unawa)
kaúnlarán	progress (n)
kaunti	a small amount (unti)
kauri	of the same kind (uri)
kausapin	to speak/converse with
kautusan	order, mandate, command (utos)
kawad	wire, cable
kawag	wave, wag
kawal	soldier, follower, troops, pawn (chess)
kawalâ	escaped person, absentee
kawalán	loss, a lack of X, void, nothingness
kawalang-kahulugan	“absence of meaning”, meaninglessness
kawali	frying-pan
káwan	herd, flock, swarm
káwang-gawâ	charity (káwanggawâ, ka+awa+na+gawâ)
kawaní	employee, assistant, helper
káwanihán	bureau
kawat	stealing, theft (Visaya)
kawatán	thief
kawawa	poor, pitiful, wretched (rt. awa.  note: not condescending)
kawáy	waving of the hand
kawáyan	bamboo
kayâ	I wonder; I wonder if; do you suppose; perhaps (used idiomatically to express doubt, question or surprise)
kayâ	that's why, so, as a result, consequently, hence, the reason why, therefore
káya	ability, competence; able, is able
kaysá	than, rather than
kayumanggi	brown
keso	cheese
kesyo	used to enumerate one or some of the flimsy and/or exasperating excuses someone else gave for doing something: saying that; saying because; one of the reasons said being; reasoning that (placed before the excuse)
kidlát	lightning
kíkilanlín	will recognize/acknowledge
kilábot	goosebumps; terror, fear
kilala	to know, recognize a person; known, famous
kilanlín	to recognize someone, to admit something (-in)
kilay	eyebrow
kilíg	tremble, shudder; giddiness
kiligin	to be tickled pink
kílik	pagdalá ng bigat sa baywang sa tulong ng bisig, karaniwang sa pagbuhat ng batà
kilikili	armpit
kilos	action, movement, motion; demeanor, behavior, conduct, manner, attitude (ásal)
kimona	a kind of loose native blouse; maluwag na blu-sang pang-itaas, maikli ang mang-gas, at karaniwang ipinapatong sa sáya.
kinabahán	became nervous
kinabâ	a small basket of fruits; fruit basket; small basket
kinabukásan	future; the following day, the day after, the next day
kinagabihan	on that night
kinagisnán	idiomatic meaning "raised/grew up with" ie, ang kinagisnan kong ama, "the man who raised me"
kinaiinisan	to be annoyed at someone
kinakaba-kabahan	is being nervous
kinakabahán	to be nervous ("kinakabahán ako")
kinákailangan	to be required, necessary, obliged (to); OR to need something (Kinákailangan kitang makausap. I need to talk to you.)
kinakapatid	step-sibling, godsib, god-sibling
kinakasama	live-in partner
kinaladkad	dragged
kinalaman	connection to something, knowledge about something (focus on the something: "Anong kinalaman nito sa akin.")
kinamay	used hands on something
kinamayan	to shake hands with
kinastigo	chastised, reprimanded severely
kiníg	something heard; vibration
kinikilig	feeling giddy
kinilála	known as; recognized/understood (completed form of kilanlín)
kinita	income earned
kintáb	shine
kirí	flirt; flirtatious woman
kirót	sharp pain
kisame	ceiling
kisáp	wink, blink
kislap	sparkle, scintillation, to glitter, twinkle
kislót	jerk, twitch
kita	income
kita	seeing
kitá	I to you
kítang-kíta	very easily seen; obvious
klase	case, type, category
kódigó	notes hidden by students during examinations; code, secret words/signs; code of laws or rules
kolong-kolong	a tricycle cart vehicle for hauling things
komadre	ninang; matalik na kaibigan (also kumádre, kumáre)
komplikado	complicated
konsého	council
konsentidór	a person who has the power to allow activities that are not appropriate; enabler; indulger; permitter
konsiyénsiyá	conscience
koponán	a team
kopra	the dried meat, or dried kernel, of the coconut used to extract coconut oil
korte	anyo, hugis, porma, hubog, hitsura, itsura, pigura
kortina	curtain
kótong	bribe (chinese origin. syn. lagáy)
kotongan	solicit a bribe from
krimen	crime
krus	cross
kubà	hunchback(ed)
kúbo	hut
kubyertos	utensils
kudâ	chatter; blabber
kugon	a type of tall grass
kuha	act of taking/getting (inc as in taking a picture); engagement, hiring of someone to work; meal (to visitors)
kuko	fingernail, toenail, talon, hoof
kukunin	will take/get
kulam	sorcery, witchcraft, bewitchment
kúlang	deficient, lacking, inadequate
kulay	color
kulélat	performs badly, comes in last in competition
kulì	retraction, revocation
kuliglíg	cricket
kulit	peskiness
kulitin	to badger, pester
kulkól	a shallow hole
kulkulín	to dig a shallow hole
kulob	something that is covered up
kulog	thunder
kulóng	jailed, caged
kulot	curl
kulubót	wrinkles; wrinkled   
kulu-kulubót	all wrinkly
kulungan	a cage, a prison
kumag	lazy idiot; worthless person; small insect   
kumahig	to scrabble; to scratch
kumamkám	to claim or take without right, usurp (kumakamkam, kumamkam, kakamkam)
kumanâ	to succeed in doing, dominate (kanâ)
kumanan	to go right
kumapâ	search for by feeling / groping
kumapit	to hold, grasp
kumare	friend; godmother (komadre)
kumausap	to speak/converse with
kumawáy	to wave
kumbaba	humility, meekness, submission
kumbagá	(expression) like, that is to say, in a sense, as if, it seems (kung baga)
kumíkinang	sparkling
kumiling	to set (as the sun) (kiling: bias, slant)
kumislót	to jerk or twitch
kumot	sheet, bedsheet
kumpare	"pare"
kumpirma	to confirm
kumpisál	confession, religious confession
kumpiyansa	confidence
kumportable	comfortable
kundángan	because of; due to the fact that; respect, consideration, veneration, reverence (kung + dangan)
kundiman	native song, love song; muslin (textile) with blood-red color
kundî	(non-pre-enclytic!) but/except (for), but rather
kung	if, whether (hypothetical, non-actual/possible condition, though used same as kapág)
kung ano	whatever, anything that, any that (however?)
kung bagá	it’s as though…
kung hindi	if not
kung kaya't	consequently
kung nasaan	wherever
kungsabágay	"as a matter of fact"
kunin	get, take
kunó	one who has penchant for american kultura (tulad kanó)
kunwari	pretend (also kunyari)
kupal	smegma; used to describe a foolish or nasty person
kupas	faded, out of date, out of use
kupkop	kept and protected under care; held against the chest
kurípot	stingy
kuro	comment, tenet, viewpoint, notion, point of view, belief
kuró-kuró	personal opinion (palagay, opinyon) point of view; notion; belief; concept (kuru-kuro)
kusà	deliberately, voluntarily
kusang-loób	free will
kusang palo	self-starter
kusíng	half centavo
kutà	fort, bulwark, hideout; makapal na pader o moog
kutaan	to fortify a place
kutíng	kitten
kutis	skin (parang balát)
kutkutín	to dig up something; to excavate (kutkot)
kutkutin	junk food; chips; finger food
kutób	foreboding, premonition
kutsara	spoon
kutsero	driver of horse-drawn vehicle, coachman
kutsilyo	table or kitchen knife
kutsón	mattress, cushion
kuwago	owl
kuwán	whatchamacallit/thingie/so-and-so
kuwarto	room, bedroom
kuweba	cave
kuwéla	kung sa palabas, masayá, at madalîng unawain
kuwéla	magaang pakisamahan
kuwéla	nakasusunod sa uso o panlasa ng iba
kuwelyo	collar
kuwenta	(also kwenta) accounting/calculating; value
kuwento	story, tale, narration
kuwento-kuwento	myth, urban legend
kuwintas	necklace
kuwitis	sky-rocket, fireworks (kwitis)
kuyukót	tail bone, coccyx, butt crack, lower part of one's butt (near one's legs)
laán	destined; intended for; reserved; associated
lababo	sink, washbasin (hugasan)
labada	washed clothes; clothes to be washed
labág	against, contrary to, in violation
laban	fight, duel, race, contest
labanán	battle
labás	outside
labì	lip, brim
labí	remains, excess, euphemism for “corpse” or dead body
labis	surplus, excess, too/so much
ladlád	revealed; unfolded
lagabláb	flame
lagalág	wanderer, rover; well travelled, nomadic, wandering
lagari	a saw
lagay	condition, relationship, level, circumstances, location (see kalagayan)
lagáy	putting (see ilagay, lumagay); a bribe
lagì	always, constantly, habitually; ever
lagím	gloom, deep sorrow, depressed feeling; dread, terror; desolation
lagnát	a fever
lagô	luxuriant growth
lagot	snapped off, cut off, broken (rope, cable, etc.); completely obsessed with something
lagpák	fall, crash, thud, failure
lagpás	past, beyond (syn: lábis, tagós lampás)
lagsák	pagkadurog ng bagay na lumabis ang pagkaluto
lagusan	exit tunnel, passageway
laguyò	camaraderie
lahad	opening of the hand palm up; unrolling, unfolding
lahár	mudslide; volcanic mudslide
lahat	all, everything, everyone
lahì	(also láhi) race, people, breed, lineage
lahók	entry; something included
lait	insult, derision; blasphemy
laítin	to revile, abuse with words, vilify, deride (nilalait, nilait, lalaitin)
lákad	walk; mission, errand, travel mission, afoot, destination
lákad na	go ahead
lakas	strength, vigor
lakas-loob	courage
lakasan	to make something stronger or louder
lakbay	voyage, trip, tour, journey
lakí	size, bulk; amount, extent
lakí sa layaw	spoiled, pampered (literally "big with freedom")
laking	grew from, came from (laking manila -> grew up in manila)
lako	goods being peddled
laktaw	to skip, to omit
laktawan	to skip
lalagyan	container where something is placed; will place in
lalakwe	gay
lalampasin	will overtake
lalamúnan	throat (lámon)
lalawígan	province
lalim	depth
lalò	more, increasingly, very, especially
lalo ang	namely, particularly
lalo na	especially, particularly
lalo na ngayon	especially these days.
lalong lalo	especially, most of all
lalong mabuti	better
lalong malaki	bigger
lalong maliit	smaller
lamán	the contents of something; meat, flesh, body, substance (lit/fig)
lamang	only, even, mere (same word as 'lang')
lamáng	at an advantage over another (player, etc.); point advantage
lamáng loob	innards
lamángan	advantage over others
