(mga) baryá	coins
gu·ni·tâ	memory, recollection
gubat na masúkal	dense forest
gubat	forest
gubat	jungle
Gugulatin ko siya.	I will startle him/her.
guho ng lupa	landslide
gulang	age
gulang	taon, edad, tanda, anyo
gulát	scared, frightenened, shocked
gulatin	to scare, frighten
guló	tumult, commotion, panic, riot
gulong nang gulong	kept rolling
gulóng ng buhay	wheel of life
gulóng ng kotse	car wheel
gulóng ng palad	wheel of  fate (=wheel of fortune)
gúlong	to roll
gulpí	to beat up
gulpí	to hit, to strike
gumabi	night fell
Gumagaling na ako.	I’m getting better already.
gumagaling	getting better
gumagaling	improving
gumagastos	is spending
gumalà	to roam around
gumalaw	to move
Gumaling ako.	I got better.
gumaling	to get better from a sickness
Gumamit ka ng kung ano sa kilikili.	Use something for the armpits.
Gumamit ng 20 isdang hindi kalakihan at 10 dakot na asing	pangkaraniwan.
Gumawa ako ng paraan.	I found a way.
Gumawa ka ng paraan.	Find a way.
Gumawa sila ng bangka.	They made a boat
Gumawa sila ng tabernakulo.	They made a tabernacle.
gumawa	made
gumawa	make
gumawa	to make, do, produce, form
gumiit (gumigiit, gumiit, gigiit) verb	insist on; persist; force one’s way
gumilid	to approach the edge
Gumising ka nang maaga.	Wake up early.
Gumuho ang lupa.	There was a landslide.
gunitâ / paggunitâ: kapangyarihan ng isip na magtanda ng anuman o	umalala sa mga nakaraang pangyayari
gusali	structure
gusalì: malakí at permanenteng estruktura, karaniwang para sa layuning	pangkomersiyo, pang-institusyon, o pang-industriya
Gusaling Chrysler	Chrysler Building
Gusto ka naming ampunin.	We want to adopt you.
Gusto kita dahil mabait ka sa akin.	I like you because you’re nice to me.
Gusto kitang makita.	I want to see you.
Gusto kitang panooring maghubad.	I want to watch you take off your clothes.
Gusto kitang sapakin.	I want to hit you (with my hand).
Gusto ko nang kumain.	I want to be eat already.
Gusto ko nang lumigaya.	I want to become happy already.
Gusto ko nang matulog.	I want to be sleep already.
Gusto ko ng tinapay at keso.	I want bread and cheese.
Gusto kong  kumain ng hamón.	I want to eat ham.
Gusto kong akyatin ang bundok na ito.	I want to climb this mountain.
Gusto kong amuyin ang buhok mo.	I want to smell your hair.
Gusto kong ipaalam sa iyo ang tunay kong damdamin.	I want to let you know my true feelings.
Gusto kong kausapin si Ana.	I’d like to speak to Ana.
Gusto kong kulutin ang buhok ko.	I want to curl my hair.
Gusto kong kumain ng tinapay.	I’d like to eat bread.
Gusto kong kumain.	I feel like eating. I want to eat.
Gusto kong kumain.	I’d like to eat.
Gusto kong mag-alaga ng halaman.	I want to take care of plants.
Gusto kong mag-alaga ng hayop.	I want to take care of animals.
Gusto kong mag-aral.	I want to study.
Gusto kong mag-aral.	I want to study.
Gusto kong maging nars.	I want to become a nurse.
Gusto kong magkaroon ng kotse.	I want to have a car.
Gusto kong magkaroon ng sariling bahay.	I want to have my own  house.
Gusto kong magpahinga dito.	I’d like to rest here.
Gusto kong magpakulot.	I want to have my hair curled.
Gusto kong maláman mo na mahal kita.	I want you to know that I love you.
Gusto kong marinig ang boses mo.	I want to hear your voice.
Gusto kong sumayaw.	I want to dance.
Gusto kong tumanda kasama ka.	I want to grow old with you.
Gusto mo bang magkaroon ng nobyo?	Do you want to have a boyfriend?
Gusto mo bang magpahinga?	Do you want to rest?
Gusto mo bang sumali?	Do you want to join?
Gusto mo bang sumayaw?	Do you want to dance?
Gusto naming mag-ampon.	We’d like to adopt.
Gusto niyang magkaroon ng pera.	He/She wants to have money.
guwardya, tanod, sentinela; taga-abang, tagasubaybay, tagatingin;	batyag
habà	length
habâ: may hugis na mahabà kaysa karaniwan	habâ: mahabà at manipis
habà: sukat sa pagitan ng magkabilâng dulo	habà:: tagal ng pangyayari o pagsasagawâ ng anuman
habagatan	west
habang buhay	while alive
Habang ginagatungan ang siga, lalo lamang lumalaki ang apoy.	The more you add fuel to a bonfire, the more it the fire blazes.
habang mainit pa ang kawali	while the frying pan is still hot
habang nagbabasa ng sulat	while reading a letter
habang-panahon	“while time” = forever
habilog	oval
Habulin mo ako.	Run after me.
Habulin mo.	Run after it.
haginít: matinis na tunog ng isang mabilis na pagdaan ng hangin o ng	isang mabilis na sasakyan
Haharangin kita.	I’ll block you.
Hala! Luhod!	Go ahead, kneel!
halál	elective
halál	vote
halalan	election(s)
hálay: salita, kilos, o ugali na lumalabag sa batas ng kagandahang-asal	at moralidad
halígi: patayông kaláp, metál, o semento na nagsisilbing túkod sa isang	estruktura
haliging bato	stone pillar
Halika at kumain.	Come and eat.
Halika at sumayaw.	Come and dance.
Halika dito.	Come here.
Halika na!	C’mon already!
Halika.	Come here.
Halika’t kumain.	Come and eat.
Halika’t mag-enjoy.	Come and enjoy.
Halika’t manood.	Come and watch.
Halika’t sumayaw.	Come and dance.
halimbawà	example
halimbawain	to use as an example
halintulad, wangis, wangki, hambing, paris, para, huwad, kamukha, gaya,	imitasyon
halip	alternative, substitute
halip	stead
Halos dalawang daan.	Almost two hundred.
halos wala	almost nothing
Halos walang sumipot.	Practically nobody showed up.
halos	approximately, about
halós: sa sinaunang lipunan, marangyang damit na isinusuot sa mga	tanging pagdiriwang
hamak	mean, petty, shabby
hamakin	to belittle, scorn
hambóg	smug about himself, arrogant
hampas	to hit, to strike
hampasang-alon	seashore, breakwater
hampas-bato / hampas-palo	jobless
hampas-lupa	vagabond, tramp, beggar, very poor person
hanapbuhay	“find life” = livelihood
hanap-hanapin	to miss something absent
Hanapin mo dito.	Look for it here.
Hanapin mo sa likod.	Look for it in the back.
Hanapin mo siya.	Find him. = Find her.
Handâ ka ba?	Are you ready?
Handâ ka na ba ngayon?	Are you ready now?
Handâ ka na ba?	Are you ready already?
Handâ na.	Ready already.
handâ	prepared food
handaan	a party with prepared food
handog: alay, alok, hain, regalo, dulot, bigay, kaloob, gawad; buwis,	tributo; dedikasyon; patungkol; bayad sa angklahe
Hanep na Madugong Buwan	Super Blood Moon
hangarin ng puso ko	my heart’s desire
hangarin	ambition; aspiration; goal
hanggan	end, boundary, limit
Hanggang Sa Dulo Ng Walang Hanggan	To The End of Eternity
hanggang sa dulo ng walang hanggan	up to the edge of eternity
hanggang sa magkabait	until one comes to one’s senses as an adult
Hanggang sa muli	Until again
hanging amihan	breeze from the northeast
hanging habagat	west or southwest wind
Hango ito sa unang mga titik ng Arabe.	It is from the first letters of Arabic.
Harangin mo ako.	Block me.
harangin	to block
haráp	euphemism for pubic area
haráp	front
haráp	to face
harap-harapan	face-to-face
Harapin mo ako.	Face me.
hatì	dividing line, part, division
hatî	halved
Hatiin mo kamatis.	Slice the tomato in half.
hatiin	to divide
hating-bilog	semi-circle
hatinggabi	midnight
hating-kapatid	half-sibling
hawa	infection, contagion
hawakan	to take hold of
Hay, naku…	Oh, dear… (exasperation)
Hayaan mo ang bata.	Let the child be.
Hayaan mo sila.	Let them.
Hayaan mo silang maglasing.	Let them get themselves drunk.
Hayaan mo silang magsalita.	Let them speak.
hayaan	to let, allow
haybol	high ball
Háyo! Sulong! Lakad! Sige!	Forward! Walk! Go Ahead!
háyo: pangkalahatang kíling ng mga pangyayari, pampublikong opinyon, at	iba pa
Here is a commercial for Dragon Katol. Dragon kung umusok, Lamok	siguradong tepok.
Heto ang pusta ko.	Here’s my bet/wager.
Heto na naman siya.	Here he comes again.
Heto pa.	Here’s more.
hi·yâ	shame, disgrace, humiliation
hibáng: nagdidiliryo, luko-luko, lunatiko, haling, loko, wala sa	hustong kaisipan
Higit 120 katao ang napatay sa Paris noong Nobyembre 2015.	More than 120 were killed in Paris in November 2015.
higpit	strictness, severity
hila	pull
Hilahin mo ako.	Pull me.
Hilahin mo ito.	Pull this.
hilahin	to pull
hilì	envy
Hilig ko ang mamangka.	My hobby is boating.
hilig	desire, inclination, hobby
hilig	to have an appetite for
hiling	claim, application
hiling	request
hilingin	to petition, ask earnestly
himalâ: pangyayaring malinaw na salungat sa kinikilálang batas na	siyentipiko
himig: ebaporasyon, pagkaiga, singaw, unang pagbalong ng tubig sa	ginagawang balon
Hinabol nila ako.	They ran after me.
hinahabagat	with the west wind
Hinahamon mo ba ako?	Are you challenging me?
hinalà: pakiramdam o pag-iisip na maaaring mangyari o maaaring totoo	ang isang bagay
hinalà: pakiramdam o paniwala na ang isang tao ay nagsisinungaling o	nakagawâ ng isang bagay na labag sa batas
hinamak	treated with contempt
Hinampas niya ako sa pader.	He threw me against the wall.
Hinaplos ng ina ang ulo ng bata.	The mother stroked the child’s head.
hinatulan ng kamatayan sa umano’y salang pagpatay	sentenced to death for the alleged crime of murder
Hinawaan mo ako.	You infected me.
hinawakan	held
Hindi akin.	Not mine.
Hindi ako bakla.	I’m not gay.
Hindi ako makasabat.	I couldn’t verbally butt in.
Hindi ako maninilip.	I won’t peek.
Hindi ako marunong magluto ng kahit ano.	I don’t know how to cook anything.
Hindi ako marunong mag-maneho.	I don’t know how to drive.
Hindi ako marunong magsinungaling.	I don’t know how to lie.
Hindi ako mayaman.	I am not rich.
Hindi ako nagsisinungaling.	I’m not lying. / I don’t lie.
Hindi ako nakatakas.	I wasn’t able to escape.
Hindi ako ngumiti.	I didn’t smile.
Hindi ako puwedeng kumain ng maalat.	I can’t eat salty stuff. I’m not allowed to eat salty food.
Hindi ako.	Not me.
Hindi bale.	Never mind.
hindi iilan	not just a few
Hindi ito mabuti.	This is not good.
Hindi iyan damo.	It is not grass.
Hindi ka dapat mag-alala.	You shouldn’t worry.
Hindi ka dapat matulog dito.	You shouldn’t sleep here.
Hindi ka lalake.	You are not a man.
Hindi ka tumupád sa usapan natin.	You didn’t fulfill what we talked about.
Hindi kapani-paniwala ang kuwento ng criminal.	The criminal’s story is hard to believe.
Hindi kita iiwanan.	I won’t leave you.
Hindi kita malilimutan.	I will not forget you.
Hindi kita tatanungin uli.	I will not ask you again.
Hindi ko alam kung nasaan ang maleta ko.	I don’t know where my suitcase is.
Hindi ko alám.	I don’t know.
Hindi ko inakalang mangyayari ito.	I didn’t think this would happen.
Hindi ko itatanong uli.	I won’t ask it again.
Hindi ko kailangan ito.	I don’t need this.
Hindi ko káya.	I can’t. = I’m not able to.
Hindi ko kayang gawin ito.	I can’t do this.
Hindi ko kayang kuwentahin ito.	I’m unable to make these calculations.
Hindi ko kayang lumuhod. Masakit ang tuhod ko.	I’m unable to kneel. My knees hurt.
Hindi ko kayang magmaneho ng trak.	I don’t have the ability to drive a truck.
Hindi ko mahulaan.	I can’t guess. (I have no clue.)
Hindi ko makalilimutan.	I won’t be able to forget (this).
Hindi ko matanggap ang ginawa mo.	I can’t accept what you did.
Hindi ko maunawaan ang sitwasyon.	I can’t understand the situation.
Hindi ko maunawaan kung bakit nagkaganito.	I can’t get why this happened.
Hindi ko nabawi ang manuskrito.	I wasn’t able to get back the manuscript.
Hindi ko nagawan ng paraan.	I wasn’t able to find a way (to solve it).
Hindi ko nahabol.	I wasn’t able to catch up (to it).
Hindi ko natiis ang kanyang pagmamalupit.	I couldn’t bear his/her harsh treatment.
Hindi ko natiis ang kanyang pagmamalupit.	I couldn’t bear his/her harsh treatment.
Hindi ko natikman.	I wasn’t able to try its flavor.
Hindi ko pa nadiligan.	I haven’t been able to water (it).
Hindi ko sila kamag-anak.	They’re not relatives of mine.
Hindi ko sukat akalain na ika’y magiging akin.	It never occurred to me that you could be mine.
Hindi lang iilang tao ang maapektuhan nito.	Not just a few people will be affected by this.
Hindi lason, kundi kabiteran ko ang papatay sa iyo.	It won’t be poison but my bitterness that will kill you.
hindi liko, hindi baluktod; hindi lihis, diretso, di-kilo; direkto,	tiyak, tahas
hindi mapigil ang pag-ubó	the coughing can’t be suppressed
Hindi masakote.	Can’t be apprehended.
hindi matanto	inconceivable
Hindi mo dapat asahan ang pangako ng kaaway.	You shouldn’t rely on the promises of an enemy.
Hindi mo dapat itong gawin.	You shouldn’t do this.
Hindi mo kailangang damdamin ito.	You don’t need to be resentful over this.
Hindi mo kailangang magbayad.	You don’t need to pay.
Hindi mo kailangang magmadali.	You don’t need to hurry.
Hindi mo puwede itong agad-agarin.	You can’t rush this.
Hindi na masyadong mainit.	It’s no longer that hot.
Hindî na. / Huwag na.	Never mind.
Hindi na.	Not anymore.
Hindi nakakasawa ang kanin.	Doesn’t matter how much rice you eat, one never tires of eating it.
Hindi nakalaban.	Was unable to fight.
hindi napapanahon	bad timing
Hindi niya ako mahal.	She/he does not love me.
Hindi pa.	Not yet.
Hindi pa.	Not yet.
Hindî po.	No, sir. / No, ma’am.
Hindi puwede kasi ang dami kong ginagawa.	Cannot be because I’m doing so many things.
Hindi pwede.	Not okay. Not allowed.
Hindi sila nagsalita.	They didn’t speak.
Hindi siya bakla.	He’s not gay.
hindî	no, not
Hinding-hindi kita iiwanan.	I absolutely won’t leave you.
hingi	to ask for something
Hinihiling ko sa iyo.	I am begging you.
Hinihintay ko ang pagdating nila.	I am waiting for their arrival.
hinihipo	is touching
Hintayin mo ako!	Wait for me!
hintuan	stopping place
Hinugasan mo na ba ito?	Have you washed this already?
Hinukay mula sa baul.	Dug out of the storage chest.
hinukay	dug
Hinuli ng pusa ang dagâ.	The cat caught the mouse.
hiram	something borrowed
hiramin	to borrow something
hiringgílya	syringe
hiringgílya: anumang katulad na kasangkapang ginagamit sa paghahardin,	pagluluto, at iba pa
histuri, istorya, salaysay; importansiya, kahalagahan, balor, halaga,	saysay
hiwagà	mystery
hiwa-hiwalay na komunidad	discrete communities
hiwa-hiwalay	things separated from each other
hiwalay sa asawa	separated from one’s spouse
hiwalay	separated
hiwátig	hint, clue
hiyâ: saloobin ng nakagawâ ng kasalanan, kamalian, o bagay na pangit sa	kapuwa
https://www.tagaloglang.com/ux/wp-content/uploads/2016/03/Maalaala_	Mo_Kaya_Theme_Carol_Banawa.mp3
hú·say	skill
hubad na katawan	naked body
hubad na katotohanan	naked truth
hubad na multo	naked ghost
hubad sa ilalim ng buwan	naked under the moon
Hubaran mo ako.	Take off my clothes.
hubaran	to strip of clothes
Hubarin mo agad ang maduming damit.	Take off the dirty clothes immediately.
hubarin	to disrobe
hubdin	strip off
hubô	naked
hubo’t hubad	completely naked
hubo’t hubad	completely naked
hubong katawan	naked body
Huhugasan ko mamaya.	I’ll wash this already.
Huhulihin ko sila.	I’ll catch them.
hukayin	to dig
hukbó ng mamamayan	citizen army
hukbó	army
hukbó: malakí, organisado, at sandatahang pangkat na sinanay para sa	anumang labanán
Hukbóng Katihan ng Pilipinas	The Philippine Army
hukbóng-himpapawid	air force
hukbóng-karagatan	navy, ocean troops
hukbóng-katihan	army, land troops
hukbóng-lakad	infantry, foot soldiers
hukbóng-sandatahán	armed forces
Hulaan mo ang edad ko.	Guess what my age is.
hulaan	to guess
Hulí ka na.	You’re late already.
Huli ka!	Gotcha!
Hulí na ako.	I’m late already.
huli	catch
hulí	end, last
hulí	late
Hulihin mo ako kung kaya mo.	Catch me if you can.
Hulihin mo ang dagâ.	Catch the mouse.
hulihin	to catch, capture
Hulog ka ng langit.	You are heaven-sent.
humagalpak ito ng tawa	burst out laughing
humamak	to treat with contempt
humanda	to prepare
Humangin nang malakas.	The wind blew strongly.
Humawak ka.	Hold on (to something).
Humihingá pa ba iyan?	Is it still breathing?
Humihingá pa rin ako.	I’m still breathing.
Humihingá pa rin.	Still breathing.
Humihingi ako ng tulong.	I’m asking for help.
Humihingi kami ng abuloy.	We’re asking for contributions.
humindi	said no
Humingá ka nang malalim.	Breathe deeply. /Inhale deeply.
Humingi ako ng dalawang libo.	I asked for two thousand.
humingi ng tawad	to ask for forgiveness
huminto	to cease, stop
Humiram ako ng lapis.	I borrowed a pencil.
humiram	borrowed something
humuli	to catch
humusay ang buhay	life became better
humusay	improved, became better
huni	chirping sound
huni	hoot, tweet
húsay: pagkakamit ng mataas na karangalan o marka sa pagsusulit o	paligsahan
husayin	to put in order
husto sa oras	punctual
Huwag ka sanang magbago.	I hope you don’t change.
Huwag kang gumalaw.	Don’t move.
Huwag kang gumamit ng bolpen.	Don’t use a pen.
Huwag kang lumabas ng bahay.	Don’t go out of the house.
Huwag kang mag-aksaya ng panahon.	Don’t waste time.
Huwag kang mag-alala. Aalagaan kita.	Don’t worry. I’ll take care of you.
Huwag kang mag-alala. Aalagaan kita.	Don’t worry. I’ll take care of you.
Huwag kang mag-alala.	Don’t worry.
Huwag kang magalit.	Don’t be angry.
Huwag kang magbago.	Don’t you change.
Huwag kang magbilad sa araw.	Don’t stay out in the sun.
Huwag kang magbiro.	Don’t joke.
Huwag kang magdamdam.	Don’t take offense.
Huwag kang mag-ingay.	Don’t make noise.
Huwag kang magkunwari.	Don’t pretend.
Huwag kang magkunwaring mahal mo ako.	Don’t pretend that you love me.
Huwag kang maglasing.	Don’t get drunk.
Huwag kang magreklamo.	Don’t complain. (Stop complaining.)
Huwag kang mag-selos.	Don’t be jealous.
Huwag kang magsinungaling!	Don’t lie!
Huwag kang magsinungaling.	Don’t lie.
Huwag kang magtiwala sa di mo kilalang tao.	Don’t trust a stranger.
Huwag kang magulat. May sasabihin ako.	Don’t be shocked. I have something to say.
Huwag kang mahiya.	Don’t be shy. Don’t feel ashamed.
Huwag kang mainis sa akin.	Don’t get ticked off at me.
Huwag kang mainis.	Don’t get irritated.
Huwag kang malungkot.	Don’t be sad.
Huwag kang mangako sa akin.	Don’t make promises to me.
Huwag kang matakot.	Don’t be afraid.
Huwag kang matakot.	Don’t be afraid.
Huwag kang ngumiti.	Don’t smile.
Huwag kang pasaway.	Don’t be so naughty.
Huwag kang sugaról.	Don’t be a gambler.
Huwag kang sumigaw.	Don’t yell.
Huwag kang tamad.	Don’t be lazy.
Huwag kang tumalon.	Don’t jump.
Huwag kang tumawa.	Don’t laugh.
Huwag kang tumawíd dito.	Don’t cross here.
Huwag kang umalis.	Don’t leave. (Don’t go.)
Huwag kang uminom.	Don’t drink.
Huwag kang umiyak kapág nasa labas.	Don’t cry when you’re outside.
Huwag kang umiyak.	Don’t cry.
Huwag kang umiyak.	Don’t cry.
Huwag kayong mag-ingay.	Don’t y’all make noise.
Huwag kunin ang di atin.	Don’t get what’s not ours.
Huwag mo akong barilin.	Don’t shoot me.
Huwag mo akong bitawan.	Don’t let go of me.
Huwag mo akong businahan.	Don’t honk your car horn at me.
Huwag mo akong dayain.	Don’t cheat me.
Huwag mo akong gamiting unan.	Don’t use me as a pillow.
Huwag mo akong gayahin.	Don’t copy me. Don’t do like I did.
Huwag mo akong harangin.	Don’t block me.
Huwag mo akong harangin.	Don’t block my way. (Get out of my way.)
Huwag mo akong hawakan.	Don’t touch me.
Huwag mo akong isumbong sa kanya.	Don’t report me to her/him.
Huwag mo akong isumbong.	Don’t report me.
Huwag mo akong iwanan.	Don’t leave me.
Huwag mo akong iwanan.	Don’t leave me.
Huwag mo akong iwanang mag-isa.	Don’t leave me alone.
Huwag mo akong iwanang mag-isa.	Don’t leave me by myself.
Huwag mo akong kagatin!	Don’t bite me.
Huwag mo akong kalimutan.	Don’t forget me.
Huwag mo akong kilitiin!	Don’t tickle me. (Stop tickling me!)
Huwag mo akong kulungin.	Don’t cage me.
Huwag mo akong lapitan.	Don’t come near me.
Huwag mo akong paiyakin.	Don’t make me cry.
Huwag mo akong pigilan.	Don’t hold me back. / Don’t restrain me.
Huwag mo akong pilitin.	Don’t force me.
Huwag mo akong puwersahin.	Don’t force me.
Huwag mo akong saktan.	Don’t hurt me.
Huwag mo akong suntukin.	Don’t punch me.
Huwag mo akong takutin.	Don’t scare me.
Huwag mo akong tanggihan.	Don’t refuse me.
Huwag mo akong tingnan.	Don’t look at me.
Huwag mo akong tingnan.	Don’t look at me.
Huwag mo akong tulakin.	Don’t push me.
Huwag mo akong tusukin.	Don’t prick me.
Huwag mo diligan ‘pag gabi.	Don’t water (them) at night.
Huwag mo hayaang mabulok itong prutas.	Don’t let this fruit go rotten.
Huwag mo itong galawin.	Don’t touch this.
Huwag mo itong gawin.	Don’t do this.
Huwag mo sanang isipin na hindi kita mahal.	Please don’t think that I don’t love you.
Huwag mo siyang kalabanin.	Don’t make an enemy out of her/him.
Huwag mo siyang kausapin.	Don’t talk to her/him.
Huwag mo tanggihan ito.	Don’t refuse this.
Huwag mong bitawan ang bata.	Don’t let go of the child.
Huwag mong buhayin ang bangkay.	Don’t bring the corpse back to life.
Huwag mong bunutin ang buhok sa kilikili.	Don’t pluck underarm hair.
Huwag mong damdamín ito.	Don’t feel resentment over this.
Huwag mong dibdibin ang sinabi niya.	Don’t take to heart what he/she said.
Huwag mong ikabit ang pangalan mo dito.	Don’t attach your name to this.
Huwag mong itapon ang kanin.	Don’t throw away the cooked rice.
Huwag mong kalimutan ang nanay mo.	Don’t forget your mother.
Huwag mong kalimutan si Nena.	Don’t forget Nena.
Huwag mong kalimutan.	Don’t forget.
Huwag mong kalimutang bumili ng tinapay.	Don’t forget to buy bread.
Huwag mong kamutin. Lalala.	Don’t scratch it. It’ll become worse.
Huwag mong pagkatiwalaan ang di mo kilala.	Don’t place your trust in what/who you don’t know.
Huwag mong paiyakin ang bata.	Don’t make the child cry.
Huwag mong pigilin.	Don’t restrain it.
Huwag mong pikunin si Carlos.	Don’t tick off Charles.
Huwag mong pilitin.	Don’t force it.
Huwag mong saktan ang bata.	Don’t hurt the child.
Huwag mong sapukin ang bata.	Don’t hit the child.
Huwag mong takutin ang bata.	Don’t scare the child.
Huwag mong turuan ng masama ang bata.	Don’t teach the child bad things.
Huwag na huwag kang magtiwala sa di mo kilalang tao.	Never trust a stranger.
Huwag na.	Never mind.
Huwag sanang gibain ang gusaling ito.	I hope this building doesn’t get torn down.
i·nís	suffocation
Iaabuloy ko ito.	I’ll be donating this.
iabot, abutan	to hand something over
iakyat	to bring up
ialay	to offer, to [66]give
Iayos mo na ang misa.	Heto na ang paring magmemesa.
Iba ako.	I’m different.
Iba ang Pilipinas.	The Philippines is different.
Iba ba ito?	Is this different?
Iba ito.	This is different.
Iba ka.	You’re different.
Iba pang ibig sabihin ng salitang biga: (pangngalan) sepo, tahilan o	pingga ng bahay; lambak, libis; tanlak, labon, latian, tunlak
Iba pang kahulugan ng salitang suko: sayad ang tuktok o dulo ng gawing	itaas; sukdol; abot
iba’t-iba	different, various
ibabang kanan	lower right
ibahin	to make different, alter, revise
Ibang anyo ng pang-angkop na na.	Different from ng suitable na na (???)
ibatay	to base on
Ibato sa ilog ang mansanas.	Throw the apple into the river.
ibato	to throw like a stone
ibig	(fondness)
Ibigay mo na lang sa akin. Tutal, di mo naman kailangan.	Just give it to me. Anyway, you don’t need it.
ibinahagi	shared
ibinatay	based (it) on
Ibinulong ko sa kanya.	I whispered it to him/her.
ibon (“willy”)	euphemism for ‘penis’
ibong mababa ang lipad	low-flying bird (=prostitute)
ibong malaya	free bird
Ibulóng mo sa akin.	Whisper it to me.
ibungad	to put in the front
idiin	to press, to stress
Idikit ang stiker sa pahinang ito.	Stick the sticker on this page.
If someone keeps asking you for something, even though you’ve already	said no, then you can tell the person:
If there were any female ones, they would have been called celadora or	seladora. Tagalog spelling variation: seladura
igalang	to honor, respect
Igalaw mo ang iyong kamay.	Move your hand. (Doctor to patient.)
igalaw	to move
igiit (iginigiit, iginiit, igigiit) verb	insist on; persist; obtrude; force one’s way
Iginiit ni Berto na hindi siya ang ama ng anak ni Ana.	Bert insisted that he wasn’t the father of Anna’s child.
iharap	to present
ihayag	disclose, reveal, divulte
ihinto	to cause to stop
Iilan lang ang dumating.	Just a few came.
Iimbestigahan ito.	This will be investigated.
Iipunin ko ang lahat ng aking matatanggap.	I’ll save all I will receive.
Iisa ang hiling ko.	I have just one request.
Iisa lamang ang alam ko.	I know of only one.
iisa	single, one and only
Ika-12 ng Hunyo	12th of June
ikabít	to fix, fasten
ika-dalawang libo’t sampung taon	2010th year
ikaiba	to differentiate
Ikakasal ako sa ika-5 ng Hunyo.	I’m getting married on the 5th of June.
Ikakasal ka na?	You’re getting married already?
Ikalabindalawang titik o letra ng abakada.	The twelfth letter of the abakada alphabet.
Ikalat ito.	Spread/Circulate this.
ikalat	to spread
ikatiwala	to entrust, confide
ikatuwa	to be amused at something
Ikaw ang aking amá.	You are my father.
Ikaw ang aking patnubay sa buhay.	You are my guide in life.
Ikaw ang búhay ko.	You are my life.
Ikaw ang hanap ng puso ko.	You are what my heart is looking for.
Ikaw ang una sa listahan ko.	You’re first on my list.
Ikaw ay mabuting táo.	You are a good person.
Ikaw ay maganda.	You are beautiful.
Ikaw ay mayroong… ?	You have… ?
Ikaw ay nasa aming mga dasal.	You are in our prayers. (to one person not older than you)
Ikaw lamang.	Only you.
Ikaw lang ang mahal ko at wala nang iba.	You’re the only one I love and no one else.
Ikaw naman.	As for you. Your turn. In your case.
Ikinagagalak kitang makilala.	I’m delighted to meet you.
Ikinagagalak ko kayong makilala.	I’m delighted to meet you. (plural / formal)
Ikinagagalak kong makilala ka.	I’m delighted to meet you.
Ikinalulungkot ko ngunit hindi ka maaaring pumasok dito.	I apologize but you cannot enter here.
Ikukulong kita.	I’ll cage you.
ikulóng	to cage, shut in
Ilaga mo ito.	Boil this.
ilagà	to boil
ilagay	to put
ilahad	to offer, to expose
ilakò	to peddle
Ilan ang darating?	How many are coming?
Ilan ang kailangan mo?	How many do you need?
Ilan ang kapatid mo?	How many siblings do you have?
ilan	few, some, how many
Ilan?	How many?
Ilang beses kang kumain?	How many times did you eat?
Ilang beses ko nang sinabi sa iyo…	I’ve told you several times…
Ilang beses na akong nabakunahan.	I’ve had myself vaccinated several times.
Ilang oras na lang…	Just a few more hours…
Ilang oras?	How many hours?
Ilang senador ang nagpanukala na ibalik sa habambuhay na pagkabilanggo	ang sinumang nagkasala ng karumal-dumal na krimen?
Ilang taon ka na?	= How old are you? (casual)
Ilang taon ka na?	How old are you?
Ilang taon na [67]po kayo?	= How old are you? (formal)
ilang	wilderness
ilang-ilang	ylang-ylang
Ilarawan ang mga sanhing pinagbuhatan ng marahas na pagkakatuligsa kay	Rizal.
ilaw ng aking buhay	light of my life
iliban	to procrastinate, delay, put off
ilibing nang buhay	to bury alive
ilibing sa limot	to purposely forget a memory
ilibing	to bury
Iligal daw ang magdala ng bala sa paliparan.	They say it’s illegal to bring bullets to the airport.
iligal na paputok	illegal fireworks
Ilihim mo ito sa pamilya mo.	Keep this a secret from your family.
ilihim	to hide, keep secret
ililipat	will transfer, move (something)
ilog	river
ilong na malaki	big nose
ilubóg	to immerse
imbestigador	investigator
imbestigahan / imbestigahin	to investigate
Imbestigahin mo ito.	Investigate this.
imbestigasyon	investigation
Imbitado ba kami?	Are we invited?
iminumungkahi, iminungkahi, imumungkahi, nagmumungkahi, nagmungkahi,	magmumungkahi
Importante sa mga Pilipina na maputi ang kanilang kilikili.	It’s important for Filipinas that their armpits are white.
imungkahi	advocate, suggest, recommend
In art, calvary is a sculptured representation of the Crucifixion,	usually erected in the open air.
In Filipino conversations, it’s very common to hear Sinong may bertdey?	(Whose birthday is it?).
In general usage, calvary is an experience or occasion of extreme	suffering, especially mental suffering.
In government parlance, a kabesa or kabisa is the head of a village or	community.
In lab ako sayo. (Taglish)	I’m in love with you.
In lab ako. (Taglish)	I’m in love.
In slang usage, atraso can refer to either an inconvenience or having a	score to settle.
In terms of human anatomy, lakó is the part of the arm that is opposite	the elbow.
In the distant past, there was no strict spelling distinction between	ng and nang.
In the Philippines, however, iskalawag refers to a person who does not	follow rules.
In the Philippines, rice is traditionally boiled in an earthen pot	called palayok.
In the United States, Memorial Day is always celebrated on the last	Monday of May. Memorial Day in 2019 was on Monday, the 27th of May.
In the Visayas region, tigok is a name for a plant whose scientific	name is Fimbristylis globulosa.
Inaabala mo ako.	You’re bothering me.
Inaadmit ko na salbahe ako.	I admit that I am naughty.
Inaalay ko ang kantang ito sa aking ama.	I am dedicating this song to my father.
Inaalay ko sa iyo ito.	I am dedicating / offering this to you.
